W0005	Phi	ISCA 2025	稀疏架构与C1/C2	1	层次 pattern / PWP / 处理器式稀疏执行组织可作结构剪枝与执行解耦对照。
W0012	Gustavson algorithm	ACM Transactions on Ma	稀疏架构与C1/C2	1	无全文不可继承
W0019	HighLight	MICRO 2023	稀疏架构与C1/C2 || sparsity	0	完整训练层次约束、VFMU/不对齐取数和硬件结构；本地C16+2:4只是受限控制。 / 完整编码/解码、稀疏数据路由和资源匹配；与实际卷积广播及神经元消费者联合排程 || -
W0026	Eyeriss v2	IEEE JETCAS 2019 || JE	稀疏架构与C1/C2	0	完整压缩流、稀疏PE与hierarchical mesh的同资源迁移；当前K8/TSBG不是完整Eyerissv2。
W0033	Bit-Pragmatic	MICRO 2017	稀疏架构与C1/C2	0	精读位偏移编码、同步与带宽；不能把本地bit-serial阈值probe当完整Pragmatic实现。
W0040	OliVe	Proceedings of the 50t	稀疏架构与C1/C2 || other	1	成对离群-牺牲品量化 + 硬件友好解码——普通压缩/异常值处理强对照；与 GOBO 并列作量化底座（借入≠X）。
W0047	FireFly-S	IEEE Transactions on C	稀疏架构与C1/C2	1	双端稀疏（权+脉冲）联合压缩 + Algo1 时序膜电位识别静默输出通道——可作 F1 共同删字/通道级结构剪枝与 Gustav 供数不规则性对照（借入≠X）。
W0054	ESSA	IEEE TVLSI（旧表称） 2022 /	稀疏架构与C1/C2	1	无全文不可继承
W0061	Sanger	MICRO-54: 54th Annual 	稀疏架构与C1/C2 || attention	1	无全文不可继承
W0068	ViTCoD	HPCA 2023	稀疏架构与C1/C2	0	完整算法/autoencoder、格式与两engine资源，事件密集输出端到端验证。
W0075	PagedAttention	SOSP 2023	稀疏架构与C1/C2	0	若出现多流/可变长度任务再考虑完整分页/共享机制；当前未试并有明确适用条件差。
W0082	UbiMoE	2025 IEEE Internationa	稀疏架构与C1/C2 || sparsity	0	完整路由/专家缓存/混合pattern与资源；需真实训练模型而非外喂gate。 || -
W0089	Parallel Accurate Minifloat MACCs	TCAD 2025，44(6):2181–2	稀疏架构与C1/C2	0	完整数制/溢出/舍入及实际ASIC普通MAC/CSD强对照。 / 完整算法映射和CMOS等资源比较。
W0096	QP-SNN	ICLR 2025	剪枝、条件执行与编译	1	无全文不可继承
W0104	CGNet	MICRO 2019	剪枝、条件执行与编译	0	完整 gate/core/tail 联合训练和硬件执行；与相同新学生/相同误差预算普通 whole-word 或逐门控制比较
