W0007	Comperity	ACM Transactions on Ar	稀疏架构与C1/C2	0	获取正文与完整算术/状态/编码成本，核与θg、非因果T10及K-as-V兼容性；没有原法同负载迁移。 / 完整适配本任务 θg、非因果 T10、实际存储/供数与生产成本尚未全部完成。
W0014	HYTE	ISCA 2025	稀疏架构与C1/C2	0	官方HYTE-sim、accessor、stream/buffer/bypass及在线四象限调节完整迁移；现有手写搜索不等价。
W0021	VENOM	SC 2023 || 待核 || 2023	稀疏架构与C1/C2 || sparsity	1	结构化/模式稀疏与官方剪枝代码级先验；可作 F1 开源强对照工具链一端。
W0028	Sparseloop	MICRO 2022 || methodol	稀疏架构与C1/C2 || sparsity	0	官方artifact对本网络的统一稀疏格式/端口映射；现有自写事件模型不等于完整Sparseloop。 || -
W0035	BBS / BitVert	MICRO 2024	稀疏架构与C1/C2 || sparsity	1	比特列级结构化稀疏（保证>50%）+ 免重训二进制剪枝 + bit-serial 执行——作 F1/F4「位宽/列取消」与量化后值稀疏失效问题的强对照（借入≠X）。
W0042	SpinalFlow	ISCA 2020	稀疏架构与C1/C2 || snn_flow	1	无全文不可继承
W0049	SpikeX	arXiv；旧表称TCAD2025待核 20	稀疏架构与C1/C2	1	面向时空不规则尖峰的敏捷派发 + 激活诱导权裁剪 + 稀疏桥接的网芯共优化接口——作「占用/活动驱动的执行与训练共设计」底座（借入≠X；与本地 F6/块占用叙事相关）。
W0056	COMPASS	MICRO 2024	稀疏架构与C1/C2 || circuit	1	无全文不可继承
W0063	DOTA	ASPLOS 2022	稀疏架构与C1/C2 || attention	0	联合训练Detector、mask/稀疏执行全链与同budget AEE，不只贴OP-STW端口。 || -
W0070	FlashAttention	NeurIPS 2022	稀疏架构与C1/C2	0	同H67完整数据流/片上容量映射，不能把GPUkernel吞吐继承到28nm。
W0077	PARO / PAROAttention	arXiv 2025	稀疏架构与C1/C2	0	完整重排/元数据/稀疏量化与H67时间窗、运动索引成本。
W0084	MoE-OPU	2025 IEEE/ACM Internat	稀疏架构与C1/C2 || sparsity	0	完整overlay/有限专家驻留与无MoE强网络控制。 || -
W0091	VideoTime3	IEEE Solid-State Circu	稀疏架构与C1/C2	0	原完整差分生产/状态/重置及真实无APS输入适配。
W0099	SparseInfer	DATE 2025 || 2024	剪枝、条件执行与编译	0	原文选择/阈值校准与误差控制完整实现；联合训练改变生产图与判决裕量，而非继续扫 γ
W0106	SBNet	CVPR 2018	剪枝、条件执行与编译	0	完整 block 操作及 halo/残差接口；同 T10 容量与真实输出恢复的端到端执行
W0113	ADET	AEÜ - International Jo	剪枝、条件执行与编译	0	取得全文并核严格/有损条件；完整运行代价与本地阈值格式对应
