W0001	Prosperity	HPCA 2025 || 待核	稀疏架构与C1/C2 || sparsity	1	Product Sparsity（行间公共二进制子组合只算一次再复用）+ 运行时识别/调度流水线——作「多消费者共享部分和/模式复用」强底座与 F3 联合图对照（借入≠X；本地已有 Prosperity 探针负结果边界）。
W0008	RSR / RSR++	ICML 2025	稀疏架构与C1/C2	0	完整递归元数据和供数有限硬件；有界D8原型不是完整RSR++，不得替代生产C2分母。
W0015	Swift	HPCA 2026	稀疏架构与C1/C2	0	原预处理、warp规则/不规则块、局部归并全流程；动态重排须与静态训练通道顺序比较。
W0022	TASD	MLSys 2025	稀疏架构与C1/C2	1	时间/结构感知稀疏调度先验，可对照 lifting 半步边界上的组完成。
W0029	GoSPA	ISCA 2021	稀疏架构与C1/C2	0	原global优化、格式/元数据与执行完整范围，先与普通tile融合比。
W0036	BitParticle	arXiv 2025	稀疏架构与C1/C2	1	双操作数比特粒子化 + 拼接减 PP + 准同步弹性 MAC 阵列——作「比特级双稀疏执行与弹性同步」强对照（DNN 比特稀疏族；借入≠X）。
W0043	SATO	DAC 2022	稀疏架构与C1/C2 || snn_flow	1	无全文不可继承
W0050	Bishop	ISCA 2025	稀疏架构与C1/C2 || attention	1	TTB 结构化打包 + BSA 束级稀疏训练 + ECP 误差约束剪 Q/K——「结构化可跳过工作单元 + 有界误差剪枝」可直接对照 F1 共同删字与 F2 组完成（借入≠X）。 || 无全文不可继承
W0057	SpikeTA	IEEE TCAD（旧 AI 声称） 202	稀疏架构与C1/C2	0	完整TSNN/层深相关buffer与本网络12block形状对齐。 / 先消歧论文，再评完整 streaming/split-engine。
W0064	FACT	Proceedings of the 50t	稀疏架构与C1/C2 || attention	1	无全文不可继承
W0071	FlashAttention-2	ICLR 2024	稀疏架构与C1/C2	0	原完整kernel与真实H67算术差异；普通分块并行作控制。
W0078	Kaleido	arXiv 2026	稀疏架构与C1/C2	0	全文复用判定/缓存/误差与本网络因果时序，不能把光流warp输入外喂当已完成。
W0085	Samsung sparsity-aware NPU architecture	2021 ACM/IEEE 48th Ann	稀疏架构与C1/C2	0	完整压缩/解码与重配置数据流；不继承8nm商用SoC指标。
W0092	HiNM / Gyro-permutation（原稿）	arXiv原稿；最终FlexHiNM-GP另	稀疏架构与C1/C2 || 剪枝、条件执行与编译	0	初稿到最终FlexHiNM-GP的完整方法差异、渐进训练/kernel和层间索引转换；新消费者损失是否超越强原目标。 || 完整输入排列、内部 N:M、层级格式协同训练/部署；多层恢复训练与原作者 GPU 格式完整复现
W0100	GRASP	DAC 2025	剪枝、条件执行与编译	0	全文算法、幅值分组/离群处理及原代价；真实 full T10 的完整组预测与静态宽度对照
W0107	DepGraph	CVPR 2023 || CVPR 2023	剪枝、条件执行与编译	0	完整依赖图自动构建/重要性与训练；联合非因果时间结构和真实物理取权成本
W0114	PS4	ICCD 2024	剪枝、条件执行与编译	0	完整方法/恢复流程/代价；与非因果 T10/θg 精确消费者对接
W0121	FLARE / BitSift	arXiv 2024	剪枝、条件执行与编译	1	比特级跳零 GEMV + 模拟存内低精度 ADC 误差韧性——普通压缩/近似计算对照；「细粒度稀疏>>粗粒度」实证模板（借入≠X）。
W0128	Greedy Miser	ICML 2012	剪枝、条件执行与编译	0	训练真实 FC2 残差和跨 T 查询 h 并集成本；完整共享森林与可实现访问代价
W0135	Low Power ViT Accelerator 2025	arXiv 2025	剪枝、条件执行与编译	0	原动态 FC2 索引收集/权重请求完整路径；同静态 hidden50 和真实 BN2 的同预算比较
W0142	BitWeaving	SIGMOD 2013	剪枝、条件执行与编译	0	完整编解码与扫描成本；PSN 阈值和 1RW 状态的同物理容量比较
W0149	Control Variate	DAC 2021	剪枝、条件执行与编译 || other	0	完整近似乘法器和原补偿策略；阈值附近错误及任务 AEE，而非只看均方误差 || -
W0156	ACBN	IEEE Transactions on V	剪枝、条件执行与编译	0	原文方法与统计精度/状态保存边界；与本地源统计/证书的准确关系
W0165	ConvDLGN	NeurIPS 2024	剪枝、条件执行与编译	0	完整逻辑卷积训练与有限 fan-in；连续输入、T10 θ 幅值及任务蒸馏的实际 AEE/硬件
W0172	SDformerFlow	ICPR 2024	SNN、神经元与事件光流 || snn_flow	1	事件光流上的 swin 时空注意力 + 全脉冲对照网——任务极相关的算法架构底座；与本地 nts07/结构化 PSN 并列的强任务对照（借入≠X）。 || 无全文不可继承
W0180	Adaptive-SpikeNet	ICRA 2023	SNN、神经元与事件光流	1	可学习神经动态（vth、λ）与事件体素时序表示——作光流 SNN 训练/动态底座对照；隐式复发保时序（借入≠X）。
W0187	LRF-SSA / Neural Dynamics Self-Attention	arXiv / ICLR 投稿 2026	SNN、神经元与事件光流	0	完整方法迁移及 AEE 未试。
W0194	ResFlow / ResHTR 来源	arXiv 2024	SNN、神经元与事件光流	1	低频稳健参考+高频残差精修与共享相关体——HTR运动算法底座对照（借入≠X）。
W0201	Spike-FlowNet	ECCV 2020	SNN、神经元与事件光流 || snn_flow	1	无全文不可继承 || 浅层 SNN 编码器累加尖峰 + 深层 ANN 解码——混合事件光流架构与能量/稀疏对照（借入≠X）。
W0208	ESDA	ACM FPGA 2024 || FPGA 	SNN、神经元与事件光流 || event	1	可组合稀疏数据流：坐标token+特征同流、子流形卷积抑膨胀、编译期并行因子——事件稀疏空间供数与模板化对接对照（借入≠X）。
W0215	Kraken	arXiv 2022	SNN、神经元与事件光流	1	事件 SNN / 三元 TNN / 量化 DNN 三引擎同 SoC 分工——多模态视觉前端异构加速对照（借入≠X）。
W0222	SpikingSSMs	AAAI 2025	SNN、神经元与事件光流	0	完整推理成本与光流训练未试。
W0229	SEW-ResNet	NeurIPS 2021	SNN、神经元与事件光流	1	尖峰元素级残差（SEW）用二元运算实现恒等映射——深层 SNN 残差通路与 shortcut 语义对照（借入≠X）。
W0236	REVIO	Biomimetics 2022	SNN、神经元与事件光流	0	加入额外传感器与状态估计结构未获本轮迁移验证。
W0243	Eventor	DAC 2022	SNN、神经元与事件光流	0	完整输入和状态生产迁移未试。
W0250	Aerospace neuromorphic optical-flow FPGA	IEEE Aerospace Confere	SNN、神经元与事件光流	0	完整原文阅读与当前任务迁移未试。
W0257	Spike-CIM	2022 IEEE Asian Solid-	SNN、神经元与事件光流 || circuit	1	无全文不可继承
W0264	FlowAcc	2022 Design, Automatio	SNN、神经元与事件光流 || snn_flow	1	无全文不可继承
