W0003	LoAS	MICRO 2024 || 2024	稀疏架构与C1/C2	1	真正时间维并行（FTP）与 dual-sparse spMspM 作为时间打包强对照；Algorithm 1 级归约/分发先验。
W0010	SumMerge	ICS 2021	稀疏架构与C1/C2	0	完整intersection发现、共享值物化/消费、布局及编译成本；本地只覆盖有限候选/缓存控制。
W0017	ScanNow	ICCAD 2025	稀疏架构与C1/C2	0	全文扫描窗/队列/匹配机制与成本；当前只属于查漏线索。
W0024	SCNN	ISCA 2017	稀疏架构与C1/C2 || sparsity	1	压缩稀疏卷积数据流经典底座：非零探测、笛卡尔积式稀疏执行、PE 间传递。
W0031	Stripes	MICRO 2016	稀疏架构与C1/C2	0	完整位串行调度/宽度分组及强word-MAC对照，包含多T输出长尾。
W0038	EBPC	IEEE JETCAS 2019	稀疏架构与C1/C2	0	完整压缩/解压、目录/字对齐/背压及访问代价，不能只报熵。 / 官方 stream-ebpc 编解码完整成本；实际物理 word/目录/随机访问和短块尾部
W0045	FireFly	IEEE TVLSI（旧表称） 2023 /	稀疏架构与C1/C2 || snn_flow	1	SCNN 压缩稀疏卷积数据流底座：仅输送非零权重/激活、笛卡尔积乘、坐标 scatter 累加、激活端到端压缩与 PE 本地 tile 驻留——可作「非零源字供数+稀疏执行计费」对照分母（借入≠X）。 || 无全文不可继承
W0052	Hardware Efficient Reconfigurable Time-Step S	ISCAS 2025 || ISCAS 20	稀疏架构与C1/C2 || attention	1	时间步展开 LIF + 可重构向量数据流 + IAND 残差保 spike-only I/O——作「时空并行供数/免膜状态」硬件分母对照（借入≠X；近 Gustav CPTB 时间并行叙事）。
W0059	SpAtten	HPCA 2021	稀疏架构与C1/C2 || attention	1	级联重要性累计 + 永久删除的粗粒度结构剪枝；渐进位宽——可作 F1「按消费者重要性共同删」与 F6 取消列的算法对照（借入≠X）。
W0066	AccelTran / DynaTran	arXiv（后续期刊待核） 2023	稀疏架构与C1/C2	0	完整阈值选择/恢复/各层供数和模型精度，而非简单load_active门控。
W0073	H-FA	arXiv 2025	稀疏架构与C1/C2	0	完整数据流、近似误差与实际score/gate精度；不继承原28nm面积数。
W0080	FLAT	Proceedings of the 28t	稀疏架构与C1/C2 || attention	0	完整loop/dataflow与片上容量、H67 gated-K替代softmax的等价适配。 || -
W0087	LUT-DLA	HPCA 2025 || arXiv 202	稀疏架构与C1/C2 || circuit	1	LUT/查表式算术与编译到固定函数单元的先验，贴近 da4ml CSE/逻辑网思路。 || 无全文不可继承
W0094	WINS	ICCV 2025	剪枝、条件执行与编译 || sparsity	0	完整 WINS-B/WINS-AB 训练与变换开销；本地 patch 与源 θg 失去加法稀疏后的完整费用 || -
W0102	TermiNETor	ICCD 2022	剪枝、条件执行与编译	0	完整原作训练与组完成优化；真实前驱时间列生产及权重共用费用，非仅剩余卷积项计数
W0109	ThUnderVolt	DAC 2018	剪枝、条件执行与编译	1	有界误差预算下的「可丢弃/可近似」完成：TE-Drop 遇时序错跳过该 MAC 贡献；Algo1 按层排序均分 ptot；在线列求和误差跟踪——可作 F2/F4「有损共同完成/回退证书」的电路侧对照底座（借入≠X）。
W0116	ConvReLU++	MobiSys 2023	剪枝、条件执行与编译	0	原完整匹配/参考组织与 CPU 优化；本地合法短状态和自适应引用更新
W0123	Dynamic CSE in HLS	ISSS 2002	剪枝、条件执行与编译	0	完整相同资源的动态/静态 CSE 比较；本地实际活跃位/读取代价差异
W0130	NeuraLUT	FPL 2024	剪枝、条件执行与编译	1	「电路级稀疏壳 + LUT 内藏稠密子网」共设计：高表达力落在布尔可综合函数里、层间仅暴露稀疏量化连边——可作 F1/F4「删暴露源字、保留隐藏计算」与浅电路延迟对照底座（借入≠X）。
W0137	AVP	Computer Vision Winter	剪枝、条件执行与编译	0	完整原训练假设与相关性处理；当前 θg 源域真实二阶项/端口与固定 BN 强控制
W0144	tileANS	arXiv 2026	剪枝、条件执行与编译	0	完整解码器/目录/状态收费；当前短表和 1RW 物理字的真实访问
W0151	MACISH	IEEE Access 2019	剪枝、条件执行与编译	1	无全文不可继承
