W0002	GustavSNN	2026 IEEE Internationa	稀疏架构与C1/C2 || sparsity	1	CPTB 柱并行时间批、每PE膜/状态驻留、NRV/NR4 双缓冲、L1D/merger、双口共享W与同k-ID屏障——作为供数与执行分母可继承到 lifting 源字对齐。 || 见 idea_cards/GustavSNN.md：CPTB/NRV/L1D/merger 等供数与执行分母。
W0009	Mailman	Information Processing	稀疏架构与C1/C2	0	原法块划分及预处理完全收费的实现；高幅值θ应静态折系数，不是把源码变成任意INT8。
W0016	RISCSparse	ICCAD 2024	稀疏架构与C1/C2 || sparsity	0	Ara/Gemmini完整协同、mask压紧、返回scatter和银行冲突；本地只有相关GP控制，不是RISCSparse。 || -
W0023	VEGETA	HPCA 2023	稀疏架构与C1/C2	0	完整映射/存储/转发与资源比较；未试不等于不适用。 / 完整可变 N:M 指令/硬件映射；同资源宽度与稠密回退路径
W0030	Cambricon-X	2016 49th Annual IEEE/	稀疏架构与C1/C2	0	完整索引模块、输入选择网络与带宽，不能以通用bit-skip等价替代。
W0037	BRIM	arXiv 2026	稀疏架构与C1/C2	0	先读正文与明确数字CMOS/CIM边界，不能直接作为本地电路增量。 / 全文相关结构和完整平衡/供数实现；在真实连续输入和静态 θ 幅值合法接口重检
W0044	STELLAR	HPCA 2024	稀疏架构与C1/C2 || snn_flow	1	无全文不可继承
W0051	SMAM / Sparse Spike-Driven Transformer HW	arXiv 2025	稀疏架构与C1/C2	1	把脉冲计算改成位置编码+地址比较以旁路零——双稀疏输入（SDSA）友好的执行编码底座；可作 Gustav/lifting 非零源字供数对照（借入≠X）。
W0058	L-SPINE	arXiv 2026	稀疏架构与C1/C2	1	面向边缘的低精度 SIMD SNN 引擎（无乘/近似算术族）——普通低精度执行对照底座（借入≠X）。
W0065	Energon	IEEE TCAD（旧表称2022，刊期待核	稀疏架构与C1/C2	0	完整FilteringUnit/AttentionUnit和多轮LSB请求，二值QK是否仍有预算。
W0072	FlashAttention-3	NeurIPS 2024	稀疏架构与C1/C2	0	完整异步依赖/资源、缩位误差，不能免费overlap。
W0079	SOFA	arXiv（正式会议待核） 2024	稀疏架构与C1/C2	1	动态稀疏「预测→top-k→正式算」拆成可流水子阶段 + 前阶段排序信息引导后阶段（SU-FA）——作 F2 有损共同完成/跨阶段证书传递的工程对照（借入≠X）。
W0086	LUT-NN	MobiCom 2023 || arXiv 	稀疏架构与C1/C2 || circuit	0	INT8 LUT表QAT同AEE、完整编码成本和跨p流水/常量PSN强编译；现有表流量下降不等价28nm PPA。 / 完整训练/查表 INT8 QAT；同 AEE 的表域训练与真实系数读取、解码、PSN 服务 || 完整表INT8 QAT到本学生
W0093	FlexHiNM-GP	ICLR 2026	剪枝、条件执行与编译	0	完整 region allocation、input permutation、inner 2:4；作者训练流程及多层同精度恢复
W0101	BitFair	IEEE JETCAS 2026 || ar	剪枝、条件执行与编译 || sparsity	1	学习提前终止+自适应位序+PE/FSM终止汇聚：按bit-plane完整输入归约，Pk≤θ^l预测ReLU置零跳剩余位——F2有损共同完成/组关闭强普通对照（借入≠X）。
W0108	CompRRAE	ASP-DAC 2019	剪枝、条件执行与编译	1	无全文不可继承
W0115	ConvReLU exact 2021	MLSys 2021	剪枝、条件执行与编译	0	自适应参考挑选、跨帧/多参考缓存与完整生命周期；按失败消费者重算的真正端口/状态闭环
W0122	SPARK-HLS	ACM Transactions on De	剪枝、条件执行与编译	0	同 CMVM 精确图的完整有条件综合基线；实际位宽/端口/扇出证明，而非“多数门先完成”叙述
W0129	Classifier Cascade	AISTATS 2012	剪枝、条件执行与编译	0	完整级联训练与准确率-费用曲线；T10 一次回答多消费者的真实代价绑定
W0136	BNFF	SysML (后续 MLSys 会议档案) 	剪枝、条件执行与编译 || BN statistics / 	1	重构BN阶段，并与邻接算子融合以减少训练中的中间数据搬运。
W0143	ByteSlice	SIGMOD 2015	剪枝、条件执行与编译	0	完整数据布局转换/访问成本；实际连续 PSN 张量与缓存生命周期
