W0004	ExSpike / APEC	FPL 2026	稀疏架构与C1/C2	1	ExSpike/APEC 式活动/乘积稀疏与多消费者共享接口（非当前失败的 G4 融合布局）。
W0011	Gamma	ASPLOS 2021	稀疏架构与C1/C2	0	完整fiber cache、调度与merge开销；与本网络有序θg/非因果消费者的RAW/last-use界面。
W0018	Avalanche	ISCA 2025	稀疏架构与C1/C2	0	原ROD维护/缓存/调度全迁；让训练依赖形成短生存期的联合结构尚无净硬件结果。
W0025	Eyeriss (row stationary)	ISCA 2016	稀疏架构与C1/C2	1	无全文不可继承
W0032	Bit Fusion	ISCA 2018	稀疏架构与C1/C2	0	完整bitbrick组合/数据流/寄存组织，与实际PSN缩位MAC资源比较。 / 完整阵列/编译/格式与数据复用；同数字工艺资源的真实量化负载
W0039	GOBO	MICRO 2020	稀疏架构与C1/C2 || other	1	离群保真 + 主体字典量化（免微调）作为「普通压缩」强权限底座；可与 Gustav 供数/ lifting 常量图同权限并列（借入≠X）。
W0046	FireFly-v2	IEEE TCAD 2024	稀疏架构与C1/C2	0	原完整架构/片上buffer及实际θg接口；未移植原FPGA实现。 / 完整多位输入和前后处理链未迁移为本地 ASIC 模型。
W0053	Configurable CSA for Spiking Transformers	2025 IEEE Internationa	稀疏架构与C1/C2	1	无全文不可继承
W0060	A³	HPCA 2020	稀疏架构与C1/C2	0	全文候选构造/筛选与真实H67评估；coarse-flow producer/恢复成本。
W0067	HeatViT	HPCA 2023	稀疏架构与C1/C2 || attention	1	自适应 token 剪枝 +「打包保留」而非硬丢；插入位置可学；硬件复用骨干 GEMM——可作 F1 删字时「保留通道表达」与 F5 生存期的算法/实现对照（借入≠X）。
W0074	FABNet	MICRO 2022	稀疏架构与C1/C2	1	静态规则结构化稀疏 + 可配置统一引擎——可作 F7「因子组对齐打包」与普通结构稀疏的硬件友好对照（借入≠X）。
W0081	FuseMax	2024 57th IEEE/ACM Int	稀疏架构与C1/C2 || attention	0	完整映射/DSE及真实score/gate算术，将中间状态和带宽全部计费。 || -
W0088	LookupFFN	ICML 2023	稀疏架构与C1/C2	0	完整hash/表训练、编解码和端到端FFN消费；与三原行、普通hash、hidden50同预算控制。 / 完整 hash 与线性变换训练/CPU布局；同真实 θg/非因果消费者和简单窄层的全费用
W0095	Channel Permutations	NeurIPS 2021	剪枝、条件执行与编译	0	完整排列搜索与逃离局部最优策略；同训练预算恢复后再与 H8/C16 结构比较
W0103	SnaPEA	ISCA 2018	剪枝、条件执行与编译	0	原作完整排序与预测执行；训练改变 PSN 图后同函数普通早停的最强比较
W0110	LazyGPU	ISCA 2025	剪枝、条件执行与编译	0	完整 busy/address 状态、Zero Cache 与依赖检查；同容量/请求延迟的完整有限端口验证
W0117	PACT	arXiv 2018	剪枝、条件执行与编译	0	原完整量化训练协议；限幅+时间依赖+生产服务共同费用，需新模型 AEE
W0124	USEFUSE	Journal of Systems Arc	剪枝、条件执行与编译	0	完整融合排程、位序与边界存储；与普通完整 MAC/CMVM 的同资源实现
W0131	LogicNets	FPL 2020	剪枝、条件执行与编译	0	完整低 fan-in/量化共训；对普通窄层+查表的同 AEE、同资源硬件比较
W0138	Gist	ISCA 2018	剪枝、条件执行与编译	0	原完整编码生命周期；当前 BN/PSN 中真实 RF 与重放代价
W0145	LCP	MICRO 2013	剪枝、条件执行与编译	0	原完整页面选择与管理；其他粒度/数据分布必须有新事实才值得再试
W0152	Laconic	arXiv 预印本；会议版 ISCA 待一手	剪枝、条件执行与编译	0	会议版全文与完整负载平衡/编码；真实连续乘法位分布和 word-MAC 强控制
W0159	Deep Decomposition Learning	ECCV 2020	剪枝、条件执行与编译	0	真实事件法向测量、不确定性与不可观测分量学习；完整 optical-flow AEE/前端费用验证
W0168	Budgeted Broadcast	arXiv 2025	剪枝、条件执行与编译	0	原完整活动预算/再生训练；针对真实前驱生产与有限状态的训练目标，需独立新增差异才重开
W0176	Seneca synaptic-delay hardware-aware training	arXiv 2024	SNN、神经元与事件光流	1	延迟时空展开→权值优化+剪枝的硬件感知训练；Shared Circular Delay Queue（双 FIFO 换缓冲）作稀疏事件延迟供数底座——时间依赖供数/生存期对照（借入≠X）。
